title,link,published,summary
Laparoscopic and Endoscopic Collaborative Surgery as Rescue-treatment for Advanced Gastric Cancer,http://classic.clinicaltrials.gov/ct2/show/NCT06105515?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Gastric Cancer<br /><b>Intervention</b>:    Procedure: Laparoscopic and Endoscopic Collaborative Surgery (LECS)<br /><b>Sponsor</b>:    Region Stockholm<br /><b>Not yet recruiting</b>
"Systematic Evaluation of Psychotherapy Training: Supervision, Student Learning, and Patient Outcomes",http://classic.clinicaltrials.gov/ct2/show/NCT06105502?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Student Education<br /><b>Intervention</b>:    Behavioral: Psychotherapy education<br /><b>Sponsors</b>:    Region Stockholm;   Karolinska Institutet<br /><b>Not yet recruiting</b>
"""Tunnel"" Flap vs Trapezoidal Flap for Lateral Sinus Lift",http://classic.clinicaltrials.gov/ct2/show/NCT06105489?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Severe Atrophy of the Edentulous Maxilla<br /><b>Interventions</b>:    Procedure: Lateral Sinus Lift using tunnel flap technique;   Procedure: Lateral Sinus Lift using crestal incision flap<br /><b>Sponsor</b>:    Studio Dentistico Associato Sivolella<br /><b>Recruiting</b>
Effect of Protein and Retinol on Alcohol-induced FGF21,http://classic.clinicaltrials.gov/ct2/show/NCT06105476?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Healthy<br /><b>Interventions</b>:    Other: Alcohol;   Other: Alcohol+protein;   Other: Alcohol+retinol;   Other: Retinol<br /><b>Sponsor</b>:    University of Copenhagen<br /><b>Not yet recruiting</b>
"Multiple Sclerosis, Menstrual Cycle and Physical Acivity",http://classic.clinicaltrials.gov/ct2/show/NCT06105463?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Multiple Sclerosis<br /><b>Intervention</b>:    Other: Strength training sessions and High-interval intensity training sessions<br /><b>Sponsor</b>:    Universidad de Almeria<br /><b>Recruiting</b>
Respiratory Muscle Assesment in COVID-patients Without Hospitalization,http://classic.clinicaltrials.gov/ct2/show/NCT06105450?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Covid19;   Diaphragm Injury<br /><b>Intervention</b>:    Diagnostic Test: Comprehensive assessment of respiratory muscle function.<br /><b>Sponsor</b>:    RWTH Aachen University<br /><b>Not yet recruiting</b>
Implementation of a Multifactorial Falls Prevention Intervention in Older Community-dWElling peRsons,http://classic.clinicaltrials.gov/ct2/show/NCT06105437?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Falls Prevention;   Implementation;   Older People<br /><b>Intervention</b>:    Other: BE-EMPOWERed program<br /><b>Sponsors</b>:    KU Leuven;   Flemish Agency for Care and Health<br /><b>Recruiting</b>
BRP1602: Evaluation of Technical and Logistical Feasibility to Measure Lung Permeability,http://classic.clinicaltrials.gov/ct2/show/NCT06105424?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Conditions</b>:    Tobacco Use;   Smoking;   Smoking, Tobacco<br /><b>Intervention</b>:    Procedure: Lung Permeability Assessment<br /><b>Sponsor</b>:    RAI Services Company<br /><b>Completed</b>"
Siderophore-labelled Position Emission Tomography for Correlating Invasive Fungal InfeCtions,http://classic.clinicaltrials.gov/ct2/show/NCT06105411?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Invasive Fungal Infections<br /><b>Intervention</b>:    Diagnostic Test: 68Ga-labelled TAFC PET/CT scan<br /><b>Sponsor</b>:    Peter MacCallum Cancer Centre, Australia<br /><b>Not yet recruiting</b>"
the Effect of Core Stability on Hand Functions,http://classic.clinicaltrials.gov/ct2/show/NCT06105398?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Rotator Cuff Tear Arthropathy<br /><b>Intervention</b>:    Other: clinical evaluation<br /><b>Sponsor</b>:    Gülçe İrem Yalçınkaya<br /><b>Active, not recruiting</b>"
Suboccipital Myofascial Release Technique in Young Adults,http://classic.clinicaltrials.gov/ct2/show/NCT06105385?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Myofascial Release<br /><b>Intervention</b>:    Other: Suboccipital Myofascial Release Technique<br /><b>Sponsor</b>:    Pamukkale University<br /><b>Recruiting</b>
"Ramadan Fasting, Microbiota and FABP4",http://classic.clinicaltrials.gov/ct2/show/NCT06105372?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Intermittent Fasting<br /><b>Intervention</b>:    <br /><b>Sponsor</b>:    Okan University<br /><b>Enrolling by invitation</b>
The Effect of Dignity Therapy Applied to Cancer Patients,http://classic.clinicaltrials.gov/ct2/show/NCT06105359?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Cancer;   Dignity<br /><b>Interventions</b>:    Behavioral: Dignity therapy;   Other: standardize care<br /><b>Sponsor</b>:    Necmettin Erbakan University<br /><b>Not yet recruiting</b>
Prevalence of ENT Diseseas,http://classic.clinicaltrials.gov/ct2/show/NCT06105346?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Conscripts;   Military Induction Board;   ENT Disease;   Rhinosinusitis Chronic;   Rhinosinusitis;   HPV Infection;   HPV Vaccine;   Long COVID;   ENT Surgery<br /><b>Intervention</b>:    <br /><b>Sponsor</b>:    Medical University of Graz<br /><b>Not yet recruiting</b>
Fidgety Movements of Preterm Neonates Included in COSGOD III,http://classic.clinicaltrials.gov/ct2/show/NCT06105333?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Preterm;   General Movements;   Fidgety Movements;   Near Infrared Spectroscopy;   Neurological Outcome<br /><b>Intervention</b>:    Procedure: standard care plus cerebral oxygen saturation monitoring with a dedicated treatment guideline<br /><b>Sponsor</b>:    Medical University of Graz<br /><b>Recruiting</b>
COGNIFOOD-Changing the Carbohydrate/Fat-ratio to Prevent Cognitive Decline and Alzheimer Pathology: A Pilot Study,http://classic.clinicaltrials.gov/ct2/show/NCT06105320?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Prodromal Alzheimer's Disease;   Alzheimer Disease;   Mild Cognitive Impairment;   Neurocognitive Disorders<br /><b>Interventions</b>:    Other: LCHF;   Other: HCLF<br /><b>Sponsors</b>:    Karolinska University Hospital;   Fingers Brain Health Institute;   Karolinska Institutet;   af Jochnick Foundation<br /><b>Recruiting</b>
Using Cognitive-Behavioral Change and Mobile Technology to Improve RN Sleep and Fatigue,http://classic.clinicaltrials.gov/ct2/show/NCT06105307?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Occupational Health;   Sleep;   Fatigue;   Nurse<br /><b>Interventions</b>:    Behavioral: RN-SLEEP;   Behavioral: Healthy Habit - Educational Control<br /><b>Sponsors</b>:    University of Cincinnati;   Washington State University<br /><b>Not yet recruiting</b>
Time-Restricted Eating and Bipolar Disorder,http://classic.clinicaltrials.gov/ct2/show/NCT06105294?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Bipolar Disorder<br /><b>Intervention</b>:    Behavioral: time-restricted eating<br /><b>Sponsor</b>:    University of California, Berkeley<br /><b>Terminated</b>"
Nurse Specialist Intervention Promoting Altered Coping and Treatment for Chronic Pain,http://classic.clinicaltrials.gov/ct2/show/NCT06105281?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Chronic Pain<br /><b>Intervention</b>:    Behavioral: The consultation with a pain specialist nurse<br /><b>Sponsors</b>:    Universiteit Antwerpen;   Vitaz<br /><b>Recruiting</b>
Management of Shoulder Dystocia in Flipped Learning,http://classic.clinicaltrials.gov/ct2/show/NCT06105268?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Shoulder Dystocia - Delivered<br /><b>Intervention</b>:    Other: flipped learning training group<br /><b>Sponsor</b>:    Karabuk University<br /><b>Recruiting</b>
"A Study to Evaluate the Effects of D-1553 on PK of Midazolam, Caffeine, Rosuvastatin, Furosemide, Digoxin, and Itraconazole or Omeprazole on PK of D-1553",http://classic.clinicaltrials.gov/ct2/show/NCT06105255?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Healthy Male<br /><b>Intervention</b>:    Drug: D-1553<br /><b>Sponsor</b>:    InventisBio Co., Ltd<br /><b>Active, not recruiting</b>"
Biological Sex and CTEPH-related RV Dysfunction and Recovery (BIOSPHeRe),http://classic.clinicaltrials.gov/ct2/show/NCT06105242?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    CTEPH<br /><b>Intervention</b>:    <br /><b>Sponsor</b>:    Intermountain Health Care, Inc.<br /><b>Recruiting</b>"
Clinical Value of Plasma Humanin in Acute Kidney Injury,http://classic.clinicaltrials.gov/ct2/show/NCT06105229?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Acute Kidney Injury<br /><b>Intervention</b>:    <br /><b>Sponsor</b>:    Guangdong Provincial People's Hospital<br /><b>Recruiting</b>
The Effect of Crossword and Word Search Puzzles on Nursing Students' Parenteral Medication Administration Knowledge,http://classic.clinicaltrials.gov/ct2/show/NCT06105216?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Nursing Education;   Medicatioon Administration Knowledge;   Puzzle<br /><b>Intervention</b>:    Other: Crossword and word search puzzles<br /><b>Sponsor</b>:    Evrim Eyikara<br /><b>Completed</b>
RATME vs LATME in Middle and Low Rectal Cancer,http://classic.clinicaltrials.gov/ct2/show/NCT06105203?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Total Mesorectal Excision;   Rectal Neoplasms;   Robotic Surgical Procedures;   Laparoscopy<br /><b>Interventions</b>:    Procedure: Robotic-assisted total mesorectal excision;   Procedure: laparoscopic-assisted total mesorectal excision<br /><b>Sponsors</b>:    The First Hospital of Jilin University;   Jilin Provincial Tumor Hospital;   Daping Hospital and the Research Institute of Surgery of the Third Military Medical University;   The Second Affiliated Hospital of Dalian Medical University;   The Second Affiliated Hospital of Harbin Medical University<br /><b>Not yet recruiting</b>
Clinical Study to Evaluate Clinical Outcomes of LuxSmart IOL as Compared With LuxGood IOL,http://classic.clinicaltrials.gov/ct2/show/NCT06105190?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Conditions</b>:    Cataract;   Lens Opacities<br /><b>Interventions</b>:    Device: Implantation of premium monofocal IOL, LuxSmart (device under investigation);   Device: Implantation of monofocal IOL, LuxGood (control device)<br /><b>Sponsors</b>:    Cutting Edge SAS;   targomedGmbH<br /><b>Recruiting</b>"
Implementation of Up-front ctDNA Into Lung Cancer Care and Development of Liquid Biopsy-based Decision Support Models - LM² Study,http://classic.clinicaltrials.gov/ct2/show/NCT06105177?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Lung Cancer<br /><b>Intervention</b>:    <br /><b>Sponsors</b>:    Catharina Ziekenhuis Eindhoven;   Eindhoven University of Technology;   Roche BV Netherlands;   Maxima Medical Center;   Zuyderland Medisch Centrum;   Maastricht University Medical Center;   St. Anna Ziekenhuis, Geldrop, Netherlands;   The Netherlands Cancer Institute<br /><b>Not yet recruiting</b>"
Validation of a Novel Cerebellar-striatal Satiety Circuit in Humans,http://classic.clinicaltrials.gov/ct2/show/NCT06105164?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Appetitive Behavior;   Obesity<br /><b>Interventions</b>:    Device: Repetitive Transcranial Magnetic Stimulation (rTMS);   Device: Sham repetitive Transcranial Magnetic Stimulation (rTMS)<br /><b>Sponsors</b>:    Brigham and Women's Hospital;   Mclean Hospital;   Beth Israel Deaconess Medical Center<br /><b>Not yet recruiting</b>
"Study of the Safety, Tolerability, Pharmacokinetics and Food Effects of VV119 Capsules in Chinese Healthy Volunteers",http://classic.clinicaltrials.gov/ct2/show/NCT06105151?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Schizophrenia<br /><b>Interventions</b>:    Drug: VV119(SAD);   Drug: VV119 Placebo(SAD);   Drug: VV119(FE)<br /><b>Sponsor</b>:    Vigonvita Life Sciences<br /><b>Not yet recruiting</b>
Cannabidiol Effects on Blood Alcohol Level and Intoxication,http://classic.clinicaltrials.gov/ct2/show/NCT06105138?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Alcohol Use Disorder<br /><b>Interventions</b>:    Dietary Supplement: 200mg Cannabidiol oral solution;   Dietary Supplement: 30mg Cannabidiol oral solution;   Dietary Supplement: Placebo<br /><b>Sponsor</b>:    Colorado State University<br /><b>Completed</b>
Autologous Micrografts From the Palatal Mucosa for Periodontal Regeneration,http://classic.clinicaltrials.gov/ct2/show/NCT06105125?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Periodontitis<br /><b>Interventions</b>:    Device: Rigenera + bone substitute;   Device: Bone substitute alone<br /><b>Sponsor</b>:    University of Turin, Italy<br /><b>Not yet recruiting</b>"
Periodontal Regeneration With Hyaluronic Acid or Enamel Matrix Derivatives,http://classic.clinicaltrials.gov/ct2/show/NCT06105112?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Periodontitis<br /><b>Interventions</b>:    Device: Hyaluronic acid;   Device: Enamel matrix derivatives<br /><b>Sponsor</b>:    University of Turin, Italy<br /><b>Recruiting</b>"
Effect of Performance-specific Cleft Speech Intervention and Long-term Learning in Children With a Cleft Palate,http://classic.clinicaltrials.gov/ct2/show/NCT06105099?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Cleft Palate Children;   Speech Disorders in Children;   Cleft Lip and Palate;   Speech Therapy<br /><b>Interventions</b>:    Behavioral: Motor-phonetic intervention;   Behavioral: Phonological intervention;   Behavioral: Combined phonetic-phonological intervention<br /><b>Sponsors</b>:    University Ghent;   Research Foundation Flanders<br /><b>Recruiting</b>
Risk Analysis Interview IVDR 2023,http://classic.clinicaltrials.gov/ct2/show/NCT06105086?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Risk Variables<br /><b>Intervention</b>:    Other: Semi-structured interview<br /><b>Sponsors</b>:    Universitair Ziekenhuis Brussel;   Vrije Universiteit Brussel<br /><b>Not yet recruiting</b>
"""Pulmonary Rehabilitation Program in Patients With Interstitial Lung Disease Associated With Systemic Sclerosis""",http://classic.clinicaltrials.gov/ct2/show/NCT06105073?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Systemic Sclerosis Associated Interstitial Lung Disease<br /><b>Intervention</b>:    Procedure: Pulmonary Rehabilitation Program<br /><b>Sponsor</b>:    Coordinación de Investigación en Salud, Mexico<br /><b>Recruiting</b>"
Clinical Effects of New Approach on Patients With Non-alcoholic Steatohepatitis,http://classic.clinicaltrials.gov/ct2/show/NCT06105060?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Non-alcoholic Steatohepatitis<br /><b>Interventions</b>:    Drug: Rosuvastatin 20mg;   Drug: N-acetyl cysteine;   Drug: Rosuvastatin and N-acetyl cysteine;   Drug: Vita-E<br /><b>Sponsor</b>:    Beni-Suef University<br /><b>Not yet recruiting</b>
Validation of a Remediation Method for Memory Disorders Using Motor and Emotional Encoding in Patients With Alzheimer's Disease,http://classic.clinicaltrials.gov/ct2/show/NCT06105047?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Alzheimer Disease<br /><b>Intervention</b>:    Behavioral: Cognitive tests<br /><b>Sponsor</b>:    Centre Hospitalier Universitaire de Saint Etienne<br /><b>Not yet recruiting</b>
Placenta Accreta Spectrum Disorder Conservative Managment Versus Hysterectomy Prospective Analysis,http://classic.clinicaltrials.gov/ct2/show/NCT06105034?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Placenta Accreta<br /><b>Intervention</b>:    Procedure: interventional techniques, the severity of placental invasion, and various placental positions and suture techniques<br /><b>Sponsor</b>:    Nourhan Elsadany<br /><b>Completed</b>"
Phase I Study of Autologous CD8+ and CD4+ Engineered T Cell Receptor T Cells in Subjects With Advanced or Metastatic Solid Tumor,http://classic.clinicaltrials.gov/ct2/show/NCT06105021?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Conditions</b>:    Pancreatic Ductal Adenocarcinoma;   Non-Small Cell Lung Cancer;   Colorectal Cancer;   Solid Tumor;   KRAS G12V<br /><b>Intervention</b>:    Drug: AFNT-211<br /><b>Sponsor</b>:    Affini-T Therapeutics, Inc.<br /><b>Not yet recruiting</b>"
"Study of Disitamab Vedotin With Toripalimab Verus Disitamab Vedotin in Hormone Receptor Positive, HER2-low Locally Advanced or Metastatic Breast Cancer",http://classic.clinicaltrials.gov/ct2/show/NCT06105008?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Breast Neoplasms<br /><b>Interventions</b>:    Drug: Disitamab Vedotin;   Drug: Toripalimab<br /><b>Sponsor</b>:    RemeGen Co., Ltd.<br /><b>Not yet recruiting</b>"
Back Beliefs Among the General Population,http://classic.clinicaltrials.gov/ct2/show/NCT06104995?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Low Back Pain<br /><b>Interventions</b>:    Other: Interventional video;   Other: Control video<br /><b>Sponsors</b>:    Bern University of Applied Sciences;   Haute Ecole de Santé Vaud<br /><b>Not yet recruiting</b>
"The Effect of Superimposed Electrical Stimulation on Sitting Balance, Respiratory Functions, and Abdominal Muscle Thickness in Complete Spinal Cord Injury",http://classic.clinicaltrials.gov/ct2/show/NCT06104982?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Spinal Cord Injury Thoracic<br /><b>Interventions</b>:    Device: NeuroTrac MyoPlus Pro single-channel electromyography biofeedback electrotherapy devices;   Other: Isometric strengthening exercises<br /><b>Sponsor</b>:    Ankara City Hospital Bilkent<br /><b>Completed</b>
DFC 004 Biomarkers for Active Diabetic Foot Ulcers,http://classic.clinicaltrials.gov/ct2/show/NCT06104969?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Diabetic Foot Ulcer;   Diabetic Foot;   Diabetes<br /><b>Intervention</b>:    <br /><b>Sponsors</b>:    University of Michigan;   National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)<br /><b>Recruiting</b>
Weaning Protocol for High-flow Nasal Oxygen Therapy in Intensive Care,http://classic.clinicaltrials.gov/ct2/show/NCT06104956?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Conditions</b>:    Acute Hypoxemic Respiratory Failure;   High-flow Nasal Oxygen Therapy<br /><b>Interventions</b>:    Drug: HFNO weaning protocol;   Drug: Standard of care<br /><b>Sponsor</b>:    University Hospital, Tours<br /><b>Not yet recruiting</b>"
Stockholm hyperTRIglyceridemia REGister (STRIREG) Study,http://classic.clinicaltrials.gov/ct2/show/NCT06104943?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT","<b>Condition</b>:    Familial Hypertriglyceridemia<br /><b>Interventions</b>:    Other: Heredity for cardiovascular disease;   Other: Heredity for pancreatitis;   Other: Heredity for type 2 diabetes;   Other: Heredity for hypertriglyceridemia<br /><b>Sponsor</b>:    Region Stockholm<br /><b>Active, not recruiting</b>"
Plasma Extracellular Vesicles in Meningioma Patients,http://classic.clinicaltrials.gov/ct2/show/NCT06104930?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Meningioma<br /><b>Intervention</b>:    Other: Explorative biomarker study<br /><b>Sponsor</b>:    University Hospital Heidelberg<br /><b>Not yet recruiting</b>
Effect of Maolactin on Gastrointestinal Tract (GIT) Health,http://classic.clinicaltrials.gov/ct2/show/NCT06104917?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Condition</b>:    Gastrointestinal Dysfunction<br /><b>Interventions</b>:    Drug: High Dose Maolactin;   Drug: Low Dose Maolactin;   Drug: Maltodextrin<br /><b>Sponsor</b>:    RDC Clinical Pty Ltd<br /><b>Not yet recruiting</b>
Managing Anxiety in Pediatric Primary Care (MAPP),http://classic.clinicaltrials.gov/ct2/show/NCT06104904?sfpd_d=14&sel_rss=new14,"Fri, 27 Oct 2023 12:00:00 EDT",<b>Conditions</b>:    Anxiety;   Anxiety Disorders<br /><b>Intervention</b>:    Behavioral: MAPP<br /><b>Sponsors</b>:    UConn Health;   National Institutes of Health (NIH);   National Institute of Mental Health (NIMH)<br /><b>Recruiting</b>
